Entry ID,PDB ID,Resolution (Å),Asym ID,Source Organism,Gene Name,Entry Id (Polymer Entity Identifiers),Accession Code(s),Database Name
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,6W4H,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
7MY8,7MY8,,,Severe acute respiratory syndrome coronavirus 2,S,7MY8,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6WS6,6WS6,3.3,,Homo sapiens,,6WS6,,
,,,,Homo sapiens,,6WS6,,
5XJK,5XJK,,,Severe acute respiratory syndrome-related coronavirus,S,5XJK,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7KJ4,7KJ4,3.4,,Severe acute respiratory syndrome coronavirus 2,S,7KJ4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7KJ4,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7KJ3,7KJ3,3.7,,Severe acute respiratory syndrome coronavirus 2,S,7KJ3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7KJ3,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7KJ2,7KJ2,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7KJ2,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7KJ2,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7BH9,7BH9,2.9,,Homo sapiens,ACE2,7BH9,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7BH9,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ACK,6ACK,4.5,,Homo sapiens,ACE2,6ACK,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,6ACK,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ACJ,6ACJ,4.2,,Severe acute respiratory syndrome-related coronavirus,S,6ACJ,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,6ACJ,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
6ACG,6ACG,5.4,,Severe acute respiratory syndrome-related coronavirus,S,6ACG,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,6ACG,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
3SCL,3SCL,3,,Paguma larvata,ACE2,3SCL,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,Q56NL1,UniProt
,,,,Homo sapiens,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,3SCL,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
3SCK,3SCK,3,,Paguma larvata,ACE2,3SCK,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,Q56NL1,UniProt
,,,,Homo sapiens,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,3SCK,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
3SCJ,3SCJ,3,,Homo sapiens,ACE2,3SCJ,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,3SCJ,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
3SCI,3SCI,2.9,,Severe acute respiratory syndrome-related coronavirus,S,3SCI,P59594,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,3SCI,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
2KAF,2KAF,,,Severe acute respiratory syndrome-related coronavirus,1a,2KAF,P0C6U8,UniProt
,,,,,1a,,,
6NUR,6NUR,3.1,,Severe acute respiratory syndrome-related coronavirus,rep,6NUR,P0C6X7,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome-related coronavirus,1a,6NUR,P0C6U8,UniProt
,,,,,1a,,,
,,,,Severe acute respiratory syndrome-related coronavirus,rep,6NUR,P0C6X7,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
1ZVB,1ZVB,1.7,,Severe acute respiratory syndrome-related coronavirus,S,1ZVB,P59594,UniProt
,,,,,S,,,
,,,,,2,,,
1ZVA,1ZVA,1.5,,Severe acute respiratory syndrome-related coronavirus,S,1ZVA,P59594,UniProt
,,,,Severe acute respiratory syndrome-related coronavirus,S,,,
1ZV8,1ZV8,1.94,,Severe acute respiratory syndrome-related coronavirus,S,1ZV8,P59594,UniProt
,,,,,S,,,
,,,,,2,,,
,,,,Severe acute respiratory syndrome-related coronavirus,S,1ZV8,P59594,UniProt
,,,,,S,,,
,,,,,2,,,
7OAQ,7OAQ,1.55,,Lama glama,,7OAQ,,
,,,,Lama glama,,7OAQ,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7OAQ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7K3N,7K3N,1.65,,Severe acute respiratory syndrome coronavirus 2,rep,7K3N,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
7CMD,7CMD,2.59,,Severe acute respiratory syndrome coronavirus 2,rep,7CMD,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
7CJD,7CJD,2.501,,Severe acute respiratory syndrome coronavirus 2,rep,7CJD,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
6ZCT,6ZCT,2.55,,Severe acute respiratory syndrome coronavirus 2,rep,6ZCT,P0DTD1,UniProt
,,,,,1a-1b,,,
7NDB,7NDB,4.6,,Severe acute respiratory syndrome coronavirus 2,S,7NDB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7NDB,,
,,,,Homo sapiens,,7NDB,,
7NDA,7NDA,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7NDA,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7NDA,,
,,,,Homo sapiens,,7NDA,,
7ND9,7ND9,2.8,,Severe acute respiratory syndrome coronavirus 2,S,7ND9,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7ND9,,
,,,,Homo sapiens,,7ND9,,
7ND7,7ND7,3.6,,Homo sapiens,,7ND7,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7ND7,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7ND7,,
7ND4,7ND4,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7ND4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7ND4,,
,,,,Homo sapiens,,7ND4,,
7MM0,7MM0,3.15,,Homo sapiens,,7MM0,,
,,,,Homo sapiens,,7MM0,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7MM0,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7MLZ,7MLZ,3.71,,Severe acute respiratory syndrome coronavirus 2,S,7MLZ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7MLZ,,
,,,,Homo sapiens,,7MLZ,,
7LS9,7LS9,3.42,,Severe acute respiratory syndrome coronavirus 2,S,7LS9,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LS9,,
,,,,Homo sapiens,,7LS9,,
7LRS,7LRS,3.89,,Severe acute respiratory syndrome coronavirus 2,S,7LRS,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LRS,,
,,,,Homo sapiens,,7LRS,,
7L2F,7L2F,3.9,,Homo sapiens,,7L2F,,
,,,,Homo sapiens,,7L2F,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7L2F,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7KXK,7KXK,5,,Severe acute respiratory syndrome coronavirus 2,S,7KXK,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KXK,,
,,,,Homo sapiens,,7KXK,,
7KXJ,7KXJ,6.4,,Homo sapiens,,7KXJ,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7KXJ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KXJ,,
6ZP7,6ZP7,3.3,,Severe acute respiratory syndrome coronavirus 2,S,6ZP7,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZP5,6ZP5,3.1,,Severe acute respiratory syndrome coronavirus 2,S,6ZP5,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZOW,6ZOW,3,,Severe acute respiratory syndrome coronavirus 2,S,6ZOW,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6XR8,6XR8,2.9,,Severe acute respiratory syndrome coronavirus 2,S,6XR8,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
2DD8,2DD8,2.3,,Homo sapiens,recombinant antibody Fab,2DD8,,
,,,,Homo sapiens,recombinant antibody Fab,2DD8,Q8N355,UniProt
,,,,,IGL@,,,
,,,,Severe acute respiratory syndrome-related coronavirus,Tor2,2DD8,P59594,UniProt
,,,,,S,,,
,,,,,2,,,
7RW2,7RW2,3.5,,Severe acute respiratory syndrome coronavirus 2,S,7RW2,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7RW2,,
,,,,Homo sapiens,,7RW2,,
7RKU,7RKU,3.2,,Severe acute respiratory syndrome coronavirus 2,S,7RKU,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7RKU,,
,,,,Homo sapiens,,7RKU,,
7P7A,7P7A,4.76,,Severe acute respiratory syndrome coronavirus 2,S,7P7A,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,synthetic construct,,7P7A,,
7P79,7P79,4,,Severe acute respiratory syndrome coronavirus 2,S,7P79,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,synthetic construct,,7P79,,
7P78,7P78,3.32,,Severe acute respiratory syndrome coronavirus 2,S,7P78,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,synthetic construct,,7P78,,
,,,,synthetic construct,,7P78,,
7P77,7P77,2.98,,Severe acute respiratory syndrome coronavirus 2,S,7P77,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,synthetic construct,,7P77,,
,,,,synthetic construct,,7P77,,
7MTE,7MTE,3.2,,Severe acute respiratory syndrome coronavirus 2,S,7MTE,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7MTD,7MTD,3.5,,Severe acute respiratory syndrome coronavirus 2,S,7MTD,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7MTC,7MTC,2.6,,Severe acute respiratory syndrome coronavirus 2,S,7MTC,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7MDW,7MDW,3.58,,Lama glama,,7MDW,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7MDW,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Lama glama,,7MDW,,
7LQV,7LQV,3.25,,Severe acute respiratory syndrome coronavirus 2,S,7LQV,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7LQV,,
,,,,Homo sapiens,,7LQV,,
7L7E,7L7E,3,,Homo sapiens,,7L7E,,
,,,,Homo sapiens,,7L7E,,
,,,,Homo sapiens,,7L7E,,
,,,,Homo sapiens,,7L7E,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7L7E,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7KN4,7KN4,2.7,,Homo sapiens,,7KN4,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7KN4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KN4,,
7KN3,7KN3,2.251,,Homo sapiens,,7KN3,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7KN3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7KN3,,
7EYA,7EYA,3.77,,Severe acute respiratory syndrome coronavirus 2,S,7EYA,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7EYA,,
,,,,Homo sapiens,,7EYA,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7EYA,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7EJ5,7EJ5,3.5,,Homo sapiens,,7EJ5,,
,,,,Homo sapiens,,7EJ5,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7EJ5,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7EJ4,7EJ4,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7EJ4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7EJ4,,
,,,,Homo sapiens,,7EJ4,,
7EB4,7EB4,3.5,,Severe acute respiratory syndrome coronavirus 2,S,7EB4,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7EB3,7EB3,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7EB3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7EB0,7EB0,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7EB0,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7EAZ,7EAZ,3.5,,Severe acute respiratory syndrome coronavirus 2,S,7EAZ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7B62,7B62,1.82,,Severe acute respiratory syndrome coronavirus 2,S,7B62,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
6ZBP,6ZBP,1.85,,Severe acute respiratory syndrome coronavirus 2,S,6ZBP,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Lama glama,,6ZBP,,
6Z43,6Z43,3.3,,Severe acute respiratory syndrome coronavirus 2,S,6Z43,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Lama glama,,6Z43,,
7KMB,7KMB,3.39,,Homo sapiens,ACE2,7KMB,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7KMB,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
3SN8,3SN8,1.99,,Severe acute respiratory syndrome-related coronavirus,1a,3SN8,P0C6U8,UniProt
7RNJ,7RNJ,2.67,,Homo sapiens,,7RNJ,,
,,,,Homo sapiens,,7RNJ,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7RNJ,P0DTC2,UniProt
,,,,,2,,,
7N9E,7N9E,3.52,,Lama glama,,7N9E,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7N9E,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7N9C,7N9C,3.71,,Severe acute respiratory syndrome coronavirus 2,S,7N9C,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Lama glama,,7N9C,,
7N9B,7N9B,3.8,,Severe acute respiratory syndrome coronavirus 2,S,7N9B,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Lama glama,,7N9B,,
7N9A,7N9A,3.5,,Lama glama,,7N9A,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7N9A,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7FG3,7FG3,3.9,,Severe acute respiratory syndrome coronavirus 2,S,7FG3,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7FG3,,
7FG2,7FG2,4.4,,Homo sapiens,,7FG2,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7FG2,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7E5Y,7E5Y,3.59,,Severe acute respiratory syndrome coronavirus 2,S,7E5Y,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7E5Y,,
,,,,Homo sapiens,,7E5Y,,
7E3L,7E3L,3.6,,Homo sapiens,,7E3L,,
,,,,Homo sapiens,,7E3L,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7E3L,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7E3K,7E3K,3.9,,Severe acute respiratory syndrome coronavirus 2,S,7E3K,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7E3K,,
,,,,Homo sapiens,,7E3K,,
7CN4,7CN4,2.93,,Bat coronavirus RaTG13,,7CN4,P0DTC2,UniProt
7L7F,7L7F,3.24,,Homo sapiens,ACE2,7L7F,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7L7F,P0DTC2,UniProt
,,,,,2,,P10104,UniProt
,,,,Severe acute respiratory syndrome coronavirus 2,S,,,
,,,,,2,,,
,,,,Human immunodeficiency virus 1,,,,
7DX9,7DX9,3.6,,Severe acute respiratory syndrome coronavirus 2,S,7DX9,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7DX9,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7DX8,7DX8,2.9,,Severe acute respiratory syndrome coronavirus 2,S,7DX8,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7DX8,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7DX7,7DX7,3.4,,Severe acute respiratory syndrome coronavirus 2,S,7DX7,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7DX7,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7DX6,7DX6,3,,Severe acute respiratory syndrome coronavirus 2,S,7DX6,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7DX6,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7DX5,7DX5,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7DX5,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,ACE2,7DX5,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
7CZZ,7CZZ,3.2,,Severe acute respiratory syndrome coronavirus 2,S,7CZZ,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV1-8,7CZZ,P0DP01,UniProt
,,,,Homo sapiens,HEL-214,,V9HW68,UniProt
,,,,Homo sapiens,HEL-214,,,
,,,,Homo sapiens,IGKC,7CZZ,A0A5C2G1U0,UniProt
,,,,Homo sapiens,IGKC,,P01834,UniProt
7CZY,7CZY,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7CZY,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV1-8,7CZY,P0DP01,UniProt
,,,,Homo sapiens,HEL-214,,V9HW68,UniProt
,,,,Homo sapiens,HEL-214,,,
,,,,Homo sapiens,IGKC,7CZY,A0A5C2G1U0,UniProt
,,,,Homo sapiens,IGKC,,P01834,UniProt
7CZX,7CZX,2.8,,Severe acute respiratory syndrome coronavirus 2,S,7CZX,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV4-59,7CZX,P01825,UniProt
,,,,Homo sapiens,IGH@,,Q6GMX6,UniProt
,,,,Homo sapiens,IGH@,,,
,,,,Homo sapiens,,7CZX,A0A5C2G1U0,UniProt
,,,,Homo sapiens,,,Q8TCD0,UniProt
7CZV,7CZV,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7CZV,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV3-30-3,7CZV,P0DP02,UniProt
,,,,Homo sapiens,IGHV3-30-3,,P0DOX5,UniProt
,,,,Homo sapiens,IGHV3-30-3,,,
,,,,Homo sapiens,IGKV1-33,7CZV,P01594,UniProt
,,,,Homo sapiens,IGKV1-33,,Q8TCD0,UniProt
7CZU,7CZU,3.4,,Severe acute respiratory syndrome coronavirus 2,S,7CZU,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV3-30-3,7CZU,P0DP02,UniProt
,,,,Homo sapiens,IGHV3-30-3,,P0DOX5,UniProt
,,,,Homo sapiens,IGHV3-30-3,,,
,,,,Homo sapiens,IGKV1-33,7CZU,P01594,UniProt
,,,,Homo sapiens,IGKV1-33,,Q8TCD0,UniProt
7CZT,7CZT,2.7,,Severe acute respiratory syndrome coronavirus 2,S,7CZT,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGL@,7CZT,A0A5C2GMM2,UniProt
,,,,Homo sapiens,IGL@,,Q8N5F4,UniProt
,,,,Homo sapiens,IGHV3-33,7CZT,P01772,UniProt
,,,,Homo sapiens,IGHV3-33,,P0DOX5,UniProt
,,,,Homo sapiens,IGHV3-33,,,
7CZP,7CZP,3,,Severe acute respiratory syndrome coronavirus 2,S,7CZP,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,IGHV4-59,7CZP,P01825,UniProt
,,,,Homo sapiens,IGHV4-59,,Q5EFE5,UniProt
,,,,Homo sapiens,IGHV4-59,,,
,,,,Homo sapiens,IGL@,7CZP,A0A5C2GM57,UniProt
,,,,Homo sapiens,IGL@,,Q8N5F4,UniProt
7VMU,7VMU,2.89,,Homo sapiens,,7VMU,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7VMU,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7D4G,7D4G,3.9,,Severe acute respiratory syndrome coronavirus 2,S,7D4G,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7D4G,,
,,,,Homo sapiens,,7D4G,,
7L0N,7L0N,2.78,,Homo sapiens,,7L0N,,
,,,,Homo sapiens,,7L0N,,
,,,,Homo sapiens,,7L0N,,
,,,,Homo sapiens,,7L0N,,
,,,,Homo sapiens,ACE2,7L0N,Q9BYF1,UniProt
,,,,,UNQ868/PRO1885,,,
,,,,,ACE2,,,
,,,,,UNQ868/PRO1885,,,
,,,,Severe acute respiratory syndrome coronavirus 2,S,7L0N,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
7K0H,7K0H,1.7,,Severe acute respiratory syndrome-related coronavirus,1a,7K0H,P0C6U8,UniProt
,,,,,1a,,,
7K0G,7K0G,1.85,,Severe acute respiratory syndrome-related coronavirus,1a,7K0G,P0C6U8,UniProt
,,,,,1a,,,
7DIY,7DIY,2.693,,Severe acute respiratory syndrome coronavirus 2,rep,7DIY,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7DIY,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
7DCD,7DCD,2.57,,Severe acute respiratory syndrome coronavirus 2,rep,7DCD,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,7DCD,P0DTD1,UniProt
,,,,,1a-1b,,,
6WXD,6WXD,2,,Severe acute respiratory syndrome coronavirus 2,rep,6WXD,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
6W9Q,6W9Q,2.05,,Severe acute respiratory syndrome coronavirus 2,rep,6W9Q,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,rep,,,
,,,,,1a-1b,,,
7C8K,7C8K,3.2,,Rhinolophus macrotis,ACE2,7C8K,E2DHI3,UniProt
,,,,,ACE2,,,
7L09,7L09,3.1,,Severe acute respiratory syndrome coronavirus 2,S,7L09,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7L09,,
,,,,Homo sapiens,,7L09,,
7L06,7L06,3.3,,Severe acute respiratory syndrome coronavirus 2,S,7L06,P0DTC2,UniProt
,,,,,2,,,
,,,,,S,,,
,,,,,2,,,
,,,,Homo sapiens,,7L06,,
,,,,Homo sapiens,,7L06,,
7N89,7N89,2,,Severe acute respiratory syndrome coronavirus 2,rep,7N89,P0DTD1,UniProt
,,,,,1a-1b,,,
,,,,,rep,,,
,,,,,1a-1b,,,
,,,,Severe acute respiratory syndrome coronavirus 2,,7N89,,
3FZD,3FZD,2.35,,Severe acute respiratory syndrome-related coronavirus,1a,3FZD,P0C6U8,UniProt
,,,,,SARS 3CL protease,,,
,,,,,1a,,,
2AJF,2AJF,2.9,,Homo sapiens,ACE2,2AJF,Q9BYF1,UniProt
,,,,,ACE2,,,
